1,Дядик,Вадим,Вадимович,dUFAT005@gmail.com,22,0505317728,19745
2,Главацький,Юрій,Миколайович,vBDzs961@ukr.net,33,0677199443,15490
3,Філінюк,Руслан,Ігорович,ohpgz275@rambler.ru,35,0939466730,12428
4,Лук’янчук,Олександр,Григорович,NLXIx246@Outlook.com,34,0934076877,16434
5,Рижий,Дмитро,Миколайович,jqrkZ093@i.ua,58,0978017286,14608
6,Русс,Костянтин,Станіславович,hzciN892@hotmail.com,46,0504542534,13199
7,Головчук,Микола,Олександрович,nuAKt636@ukr.net,49,0939386130,15451
8,Денисюк,Олександр,Олексійович,EtYhK359@rambler.ru,59,0672609091,15364
9,Гринчук,Олексій,Анатолійович,XjNzI480@gmail.com,30,0931296403,9252
10,Поліщук,Павло,Леонідович,yvjjV198@rambler.ru,56,0670787808,22114
11,Камінський,Володимир,Володимирович,kLQfa863@i.ua,53,0679060846,14799
12,Троцюк,Олександр,Михайлович,ygbCu076@hotmail.com,36,0508710273,18373
13,Лех,Владислав,Валентинович,tfCaL918@i.ua,59,0979131062,23211
14,Шубец,Віктор,Юрійович,bgObi135@Outlook.com,65,0972232620,23888
15,Пожарний,Роман,Володимирович,Bpqft054@gmail.com,75,0971555126,13964
16,Гребенюк,Вячеслав,Володимирович,IGhcL088@hotmail.com,53,0675695589,11910
17,Сардига,Юрій,Васильович,SuBrs804@ukr.net,25,0675779177,23490
18,Шевчук,Сергій,Петрович,vsCuQ831@ukr.net,31,0931884811,15299
19,Сидорук,Микола,Костянтинович,OenkN975@hotmail.com,71,0677740881,20939
20,Левчук,Сергій,Андрійович,vUfoS491@Outlook.com,46,0674536480,22005
21,Зламан,Юрій,Миколайович,JDGbE294@ukr.net,77,0677952432,17751
22,Іщенко,Ігор,Олександрович,HLCaN786@i.ua,70,0508640061,16522
23,Голодняк,Вадим,Васильович,cOvME785@rambler.ru,26,0678639890,13115
24,Чоп,Сергій,Сергійович,xlblj699@hotmail.com,28,0677912619,16142
25,Заболотній,Петро,Васильович,tYGDE784@hotmail.com,46,0979788501,21975
26,Уманцев,Сергій,Євгенович,vDZkM567@ukr.net,64,0934407622,20078
27,Пашкевич,Микола,Олександрович,ngMjs869@hotmail.com,56,0506748588,13931
28,Петрик,Ігор,Леонідович,EjZVZ597@gmail.com,32,0671525891,9922
29,Костюк,Віктор,Петрович,yAtoT001@gmail.com,61,0502396757,14363
30,Грицай,Володимир,Васильович,buNrZ170@ukr.net,55,0933875534,14724
31,Кривошей,Михайло,Михайлович,odmsz388@Outlook.com,33,0938539357,21440
32,Семещук,Руслан,Григорович,yILhc319@gmail.com,20,0937507480,17587
33,Свінціцький,Володимир,Валентинович,ebEmK652@i.ua,61,0933584544,8901
34,Гладкий,Валерій,Олександрович,bgljF274@Outlook.com,70,0936023750,12264
35,Семенюк,Костянтин,Ярославович,sMfEA966@rambler.ru,46,0671404611,14043
36,Залевський,Микола,Миколайович,CDQPL269@gmail.com,38,0505794406,22922
37,Кузло,Андрій,Анатолійович,YIQJA543@gmail.com,20,0972132904,18885
38,Кашернюк,Іван,Миколайович,pjHiS111@i.ua,27,0976315268,19973
39,Веремчук,Микола,Васильович,KgxdV354@gmail.com,26,0679727174,14630
40,Козак,Артем,Євгенійович,LDUBF126@hotmail.com,75,0506105075,9990
41,Смужевич,Андрій,Васильович,pyNGf630@gmail.com,27,0970311469,20703
42,Лагнюк,Руслан,Володимирович,rPHen336@hotmail.com,20,0971141506,19158
43,Максай,Сергій,Олександрович,HKrKH619@rambler.ru,49,0971747556,8788
44,Герасимчук,Олександр,Михайлович,uGMDS200@rambler.ru,41,0973062731,12155
45,Янківський,Леонід,Віталійович,brlbA513@hotmail.com,40,0932342889,13204
46,Кірсанов,Євген,Юрійович,QonGd441@rambler.ru,56,0508188180,10537
47,Вітрук,Дмитро,Богданович,mvoBj917@Outlook.com,73,0678153099,22112
48,Іванюк,Геннадій,Вікторович,PJoka228@ukr.net,55,0934010061,11024
49,Карпюк,Михайло,Валерійович,cgBxt980@rambler.ru,60,0970552291,16309
50,Касаткін,Євген,Володимирович,izamV480@Outlook.com,56,0674204518,13901
52,Степанець,Вадим,Павлович,IQTgC239@i.ua,21,0933140080,13114
53,Горжий,Сергій,Станіславович,kyYYi449@gmail.com,34,0974328892,23539
54,Карпюк,Василь,Орестович,irYLq556@rambler.ru,65,0673916107,19974
55,Паламарчук,Віктор,Володимирович,vcpjQ031@ukr.net,70,0679664892,17879
56,Новіков,Олег,Станіславович,CABmP185@gmail.com,27,0679709041,22139
57,Чикун,Михайло,Сергійович,bKaUc191@hotmail.com,55,0670175963,15358
58,Федорченко,Віктор,Олександрович,OscKd522@ukr.net,70,0678697383,20419
59,Кравчук,Олег,Васильович,eNtfz072@ukr.net,31,0671564922,15102
60,Павлов,Костянтин,Сергійович,QmOFp964@Outlook.com,40,0501539108,23525
61,Матвейчук,Сергій,Євгенович,EJxLS689@hotmail.com,50,0935849223,10991
62,Стельмах,Валерій,Іванович,SoqZH807@rambler.ru,50,0502654161,12445
63,Козяр,Роман,Якович,vgZiu756@i.ua,77,0677892659,23474
64,Новицький,Данііл,Євгенович,soDLn955@Outlook.com,78,0978567752,23671
65,Кідун,Роман,Юрійович,nsXmn502@hotmail.com,68,0931682192,10585
66,Кулеша,Олексій,Григорович,KXkCM982@Outlook.com,74,0508780824,20376
67,Козачок,Віталій,Васильович,XyoVO139@rambler.ru,27,0970405926,11301
68,Кукурудза,Андрій,Ростиславович,szmud046@gmail.com,74,0679706455,14827
69,Якименко,Євген,Сергійович,XZZcZ369@Outlook.com,40,0935376453,17179
70,Бондаренко,Олександр,Анатолійович,uptaE601@Outlook.com,25,0976616240,16824
71,Котяш,Олександр,Васильович,hiOYI921@i.ua,51,0671056968,15743
72,Онохін,Ярослав,Вячеславович,BXlds146@i.ua,54,0501723051,19626
73,Воробей,Андрій,Сергійович,mIMeX440@hotmail.com,22,0931416037,9684
74,Петруняк,Юрій,Валерійович,LBkVh817@ukr.net,39,0973549224,20338
75,Русальчук,Микола,Володимирович,EUVnf470@rambler.ru,49,0971522904,12123
76,Павлюк,Ігор,Геннадійович,FInpz894@i.ua,61,0679313179,8570
77,Кручок,Андрій,Степанович,VHMdd662@ukr.net,45,0678886334,9735
78,Шварц,Назар,Сергійович,rxgiK392@gmail.com,23,0672468075,22707
79,Лепеха,Олег,Миколайович,ltzxZ278@rambler.ru,56,0933085506,8372
80,Тарасюк,Олег,Вікторович,tkpvT008@gmail.com,74,0937563013,8176
81,Козачок,Анатолій,Васильович,KOYSJ173@gmail.com,77,0507667324,14985
82,Мельничук,Володимир,Олександрович,PtQXH892@gmail.com,33,0932211195,20399
83,Куришко,Сергій,Іванович,ZfUNI299@i.ua,48,0677781746,12518
84,Хижняк,Микола,Васильович,MZYzr035@rambler.ru,41,0678053453,14559
85,Полевода,Сергій,Олександрович,IaMUf389@rambler.ru,33,0976369204,19809
86,Лютко,Віталій,Михайлович,hpVKK347@i.ua,53,0979210852,8622
87,Бочкор,Іван,Іванович,fbYOf569@hotmail.com,38,0978327431,8026
88,Новак,Руслан,Олександрович,BSKAo069@i.ua,39,0977393114,11591
89,Сологуб,Віктор,Сергійович,kUsCz583@ukr.net,70,0678575632,19546
90,Олійник,Богдан,Миколайович,EXmGi167@Outlook.com,34,0670955692,19907
91,Якимець,Петро,Олегович,ImZNA573@ukr.net,52,0933845487,21455
92,Сазонов,Михайло,Олександрович,gCfTL990@rambler.ru,33,0975969935,16058
93,Юськов,Костянтин,Петрович,OSKEq963@hotmail.com,20,0670018180,12819
94,Шипурьов,Олександр,Валентинович,usPDT250@hotmail.com,66,0504051934,21267
95,Котнюк,Іван,Григорович,dUqmz279@i.ua,40,0934907189,21419
96,Лукашук,Наталія,Іванівна,aqLSx439@i.ua,21,0673498011,11053
97,Євтушок,Олександр,Миколайович,bTvSP226@i.ua,79,0937087278,16801
98,Конарєв,Сергій,Володимирович,jlUdj523@i.ua,71,0939714627,12919
99,Поліщук,Володимир,Анатолійович,yFGks952@gmail.com,54,0974669992,17388
100,Заграничний,Сергій,Васильович,DdFGu740@rambler.ru,70,0978922245,19525
101,Шийка,Василь,Петрович,PpFSN595@Outlook.com,37,0973719028,20453
102,Кириченко,В’ячеслав,Віталійович,NrjXH158@Outlook.com,78,0501419909,19371
104,Бобрусь,Роман,Іванович,bVGeE933@hotmail.com,31,0937975729,21377
105,Горкун,Іван,Миколайович,iTCnt669@hotmail.com,47,0676194032,12790
106,Сосновчик,Олександр,Іванович,sJFQY741@ukr.net,58,0931517556,20337
107,Мацарський,Євгеній,Сергійович,AdyNC020@ukr.net,46,0673460699,24188
108,Бендарчук,Дмитро,Олександрович,ckExd746@hotmail.com,71,0679653272,10392
109,Ветров,Дмитро,Валерійович,hUuID766@rambler.ru,41,0509191900,15307
110,Слободянюк,Олександр,Володимирович,IbiMm648@gmail.com,43,0975458658,9197
111,Тюхтій,Леонід,Григорович,NZDhK105@rambler.ru,38,0973814625,15207
112,Чича,Олексій,Анатолійович,uCIKx398@ukr.net,38,0971966018,18798
113,Захарчук,Микола,Іванович,PcNeL333@i.ua,40,0504273109,24120
114,Романюк,Артем,Васильович,DUTde781@hotmail.com,68,0979831989,21457
115,Масник,Сергій,Володимирович,LoLqK385@rambler.ru,69,0504145222,19699
116,Бемчук,Анатолій,Миколайович,GFutf888@Outlook.com,56,0679182216,14872
118,Гутнік,Олександр,Анатолійович,eeQvE675@rambler.ru,74,0502266070,16427
119,Береговий,Іван,Миколайович,lAzct858@ukr.net,59,0933908296,8492
120,Коханюк,Сергій,Ростиславович,ZqIHA082@i.ua,36,0672132027,20930
121,Саюк,Леонід,Ярославович,YucPL984@i.ua,71,0505405534,9557
122,Стасюк,Віктор,Вікторович,HpXDY301@hotmail.com,28,0678162897,15318
123,Підручний,Павло,Віталійович,TEoht497@ukr.net,70,0936988938,10226
124,Пінчук,Олексій,Андрійович,KJVCL953@rambler.ru,79,0505325994,17370
125,Терновик,Олександр,Ігорович,qQYGA197@Outlook.com,39,0934709559,15818
126,Фурман,Іван,Тарасович,VRarp935@hotmail.com,26,0935007594,16068
